index,video_id,title,video_url,thumbnail_file,thumbnail_url,content_type,duration,view_count
39,AaLEJ-OHRX8,我同意熱炒店老闆對我的回應（120兆訂閱問答）,https://www.youtube.com/watch?v=AaLEJ-OHRX8,039_AaLEJ-OHRX8.jpg,https://i.ytimg.com/vi/AaLEJ-OHRX8/maxresdefault.jpg,image/jpeg,761.0,854265
40,SJtLTNJglN4,別做夢（深呼錫第四季 #021）,https://www.youtube.com/watch?v=SJtLTNJglN4,040_SJtLTNJglN4.jpg,https://i.ytimg.com/vi/SJtLTNJglN4/maxresdefault.jpg,image/jpeg,1935.0,
41,IEjFZiP0-dY,我在台灣的電梯裡看到這個AI廣告我感覺太糟糕了我必須做個影片說說。,https://www.youtube.com/watch?v=IEjFZiP0-dY,041_IEjFZiP0-dY.jpg,https://i.ytimg.com/vi/IEjFZiP0-dY/maxresdefault.jpg,image/jpeg,639.0,
42,BF9DIXtUy9g,[會員內容] 台灣工作室Room Tour,https://www.youtube.com/watch?v=BF9DIXtUy9g,042_BF9DIXtUy9g.jpg,https://i.ytimg.com/vi/BF9DIXtUy9g/maxresdefault.jpg,image/jpeg,258.0,
43,gsw8lM_T9hs,離開台灣（深呼錫第四季 #020）,https://www.youtube.com/watch?v=gsw8lM_T9hs,043_gsw8lM_T9hs.jpg,https://i.ytimg.com/vi/gsw8lM_T9hs/maxresdefault.jpg,image/jpeg,1499.0,
44,M8QbjxRvpKQ,找到東京住處（深呼錫第四季 #019）,https://www.youtube.com/watch?v=M8QbjxRvpKQ,044_M8QbjxRvpKQ.jpg,https://i.ytimg.com/vi/M8QbjxRvpKQ/maxresdefault.jpg,image/jpeg,1520.0,
45,gWx87e-fcFs,他們在5天裡造了150+篇新聞，為什麼？（白飯之亂的真相）,https://www.youtube.com/watch?v=gWx87e-fcFs,045_gWx87e-fcFs.jpg,https://i.ytimg.com/vi/gWx87e-fcFs/maxresdefault.jpg,image/jpeg,2353.0,
46,GRVmF22PTTE,小留感情問題（深呼錫第四季 #018）,https://www.youtube.com/watch?v=GRVmF22PTTE,046_GRVmF22PTTE.jpg,https://i.ytimg.com/vi/GRVmF22PTTE/maxresdefault.jpg,image/jpeg,1555.0,
47,c-XLhpV9mPA,文人（深呼錫第四季 #017）,https://www.youtube.com/watch?v=c-XLhpV9mPA,047_c-XLhpV9mPA.jpg,https://i.ytimg.com/vi/c-XLhpV9mPA/maxresdefault.jpg,image/jpeg,2163.0,
48,nF7BnWMo7dc,腦竭（深呼錫第四季 #016）,https://www.youtube.com/watch?v=nF7BnWMo7dc,048_nF7BnWMo7dc.jpg,https://i.ytimg.com/vi/nF7BnWMo7dc/maxresdefault.jpg,image/jpeg,1129.0,
